1	 на	74	0.000388961892247
2	на 	64	0.000336399474376
3	

	64	0.000336399474376
4	
	64	0.000336399474376
5	 і 	59	0.00031011826544
6	.
	47	0.000247043363995
7	 по	41	0.000215505913272
8	 не	39	0.000204993429698
9	 до	35	0.000183968462549
10	не 	35	0.000183968462549
11	оро	34	0.000178712220762
12	 пр	33	0.000173455978975
13	ся 	32	0.000168199737188
14	и, 	32	0.000168199737188
15	ого	31	0.000162943495401
16	 — 	30	0.000157687253614
17	ли 	29	0.000152431011827
18	ла 	29	0.000152431011827
19	 в 	27	0.000141918528252
20	сь 	26	0.000136662286465
21	их 	26	0.000136662286465
22	ть 	25	0.000131406044678
23	 та	25	0.000131406044678
24	ати	25	0.000131406044678
25	го 	24	0.000126149802891
26	і в	24	0.000126149802891
27	а в	24	0.000126149802891
28	ти 	23	0.000120893561104
29	 ко	23	0.000120893561104
30	 во	22	0.000115637319317
31	ки 	22	0.000115637319317
32	ий 	21	0.00011038107753
33	 ді	21	0.00011038107753
34	и н	21	0.00011038107753
35	оже	19	9.98685939553e-05
36	рож	19	9.98685939553e-05
37	ні 	19	9.98685939553e-05
38	про	19	9.98685939553e-05
39	 ро	19	9.98685939553e-05
40	пор	18	9.46123521682e-05
41	ми 	18	9.46123521682e-05
42	, п	18	9.46123521682e-05
43	 мо	17	8.93561103811e-05
44	
— 	17	8.93561103811e-05
45	 ві	17	8.93561103811e-05
46	 ве	17	8.93561103811e-05
47	, і	17	8.93561103811e-05
48	, д	17	8.93561103811e-05
49	ино	17	8.93561103811e-05
50	Оле	17	8.93561103811e-05
51	 що	17	8.93561103811e-05
52	та 	17	8.93561103811e-05
53	а, 	17	8.93561103811e-05
54	а н	17	8.93561103811e-05
55	 ст	17	8.93561103811e-05
56	 за	17	8.93561103811e-05
57	
—	17	8.93561103811e-05
58	 ма	16	8.4099868594e-05
59	али	16	8.4099868594e-05
60	лес	16	8.4099868594e-05
61	 вс	16	8.4099868594e-05
62	 ви	16	8.4099868594e-05
63	, в	16	8.4099868594e-05
64	 у 	15	7.88436268068e-05
65	апо	15	7.88436268068e-05
66	ись	15	7.88436268068e-05
67	ло 	15	7.88436268068e-05
68	час	15	7.88436268068e-05
69	до 	15	7.88436268068e-05
70	 Ол	15	7.88436268068e-05
71	ою 	15	7.88436268068e-05
72	уть	14	7.35873850197e-05
73	 За	14	7.35873850197e-05
74	ами	14	7.35873850197e-05
75	і п	14	7.35873850197e-05
76	і, 	14	7.35873850197e-05
77	Зап	14	7.35873850197e-05
